"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"XPath Locators","545","XPath: Index (Nth element with smth)","","Wed Jan 14 21:17:37 UTC 2026","passed","Wed Jan 14 21:17:37 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexNthElementLocator"
"","1039","Отправка формы. Поле пароль со знаками и разной высоты текстом","","Wed Jan 14 21:18:36 UTC 2026","passed","Wed Jan 14 21:18:37 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordPasteTest"
"","775","Получение последней страницы перед Next","","Wed Jan 14 21:17:38 UTC 2026","passed","Wed Jan 14 21:17:38 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","lastNumberBeforeTest"
"XPath Locators","587","XPath: Index (first element)","","Wed Jan 14 21:17:32 UTC 2026","passed","Wed Jan 14 21:17:32 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathIndexFirstElementLocator"
"XPath Locators","573","XPath: Text","","Wed Jan 14 21:17:29 UTC 2026","passed","Wed Jan 14 21:17:29 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTextLocator"
"","719","sessionStorageDeleteTest()","","Wed Jan 14 21:19:03 UTC 2026","passed","Wed Jan 14 21:19:03 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageDeleteTest"
"","1223","Выбор и отмена элемента (select/deselect)","","Wed Jan 14 21:17:13 UTC 2026","passed","Wed Jan 14 21:17:14 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","selectFromListTest"
"XPath Locators","542","XPath: Close Parent","","Wed Jan 14 21:17:25 UTC 2026","passed","Wed Jan 14 21:17:26 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathCloseParentLocator"
"","903","Отправка формы с датой","","Wed Jan 14 21:18:47 UTC 2026","passed","Wed Jan 14 21:18:48 UTC 2026","","ui.WebFormTests","ui.WebFormTests","datePickerTest"
"XPath Locators","570","XPath: Smth And Smth","","Wed Jan 14 21:17:20 UTC 2026","passed","Wed Jan 14 21:17:20 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathSmthAndSmthLocator"
"","838","Получение данных элемента","","Wed Jan 14 21:17:10 UTC 2026","passed","Wed Jan 14 21:17:11 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","getInfoTest"
"","871","Скролл страницы","","Wed Jan 14 21:16:56 UTC 2026","passed","Wed Jan 14 21:16:57 UTC 2026","","ui.ActionApiTests","ui.ActionApiTests","actionAPILongPageTest"
"","1731","saveChangesLaunchModalTest()","","Wed Jan 14 21:17:07 UTC 2026","passed","Wed Jan 14 21:17:08 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","saveChangesLaunchModalTest"
"XPath Locators","569","XPath: Child","","Wed Jan 14 21:17:27 UTC 2026","passed","Wed Jan 14 21:17:28 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathChildLocator"
"","4074","slowCalcWaitTest()","","Wed Jan 14 21:17:55 UTC 2026","passed","Wed Jan 14 21:17:59 UTC 2026","","ui.SlowCalcTest","ui.SlowCalcTest","slowCalcWaitTest"
"","8529","loadingImagesFluentWaitTest()","","Wed Jan 14 21:17:59 UTC 2026","passed","Wed Jan 14 21:18:08 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesFluentWaitTest"
"CSS Locators","530","CSS Locators: ID","","Wed Jan 14 21:17:24 UTC 2026","passed","Wed Jan 14 21:17:24 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssIdLocator"
"","757","colourLaunchConfirmTest()","","Wed Jan 14 21:16:59 UTC 2026","passed","Wed Jan 14 21:17:00 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchConfirmTest"
"","966","colourLaunchPromptTest()","","Wed Jan 14 21:17:02 UTC 2026","passed","Wed Jan 14 21:17:03 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchPromptTest"
